TEAM ID,FILE ID,AFS FILE,OFFSET
0,312,0_SOUND.AFS,3151392
1,312,0_SOUND.AFS,3151396
2,527,0_SOUND.AFS,3151400
3,522,0_SOUND.AFS,3151404
4,507,0_SOUND.AFS,3151408
5,517,0_SOUND.AFS,3151412
6,477,0_SOUND.AFS,3151416
7,312,0_SOUND.AFS,3151420
8,487,0_SOUND.AFS,3151424
9,512,0_SOUND.AFS,3151428
10,327,0_SOUND.AFS,3151432
11,327,0_SOUND.AFS,3151436
12,312,0_SOUND.AFS,3151440
13,327,0_SOUND.AFS,3151444
14,502,0_SOUND.AFS,3151448
15,492,0_SOUND.AFS,3151452
16,312,0_SOUND.AFS,3151456
17,312,0_SOUND.AFS,3151460
18,327,0_SOUND.AFS,3151464
19,482,0_SOUND.AFS,3151468
20,327,0_SOUND.AFS,3151472
21,327,0_SOUND.AFS,3151476
22,312,0_SOUND.AFS,3151480
23,327,0_SOUND.AFS,3151484
24,327,0_SOUND.AFS,3151488
25,327,0_SOUND.AFS,3151492
26,322,0_SOUND.AFS,3151496
27,312,0_SOUND.AFS,3151500
28,497,0_SOUND.AFS,3151504
29,332,0_SOUND.AFS,3151508
30,327,0_SOUND.AFS,3151512
31,312,0_SOUND.AFS,3151516
32,337,0_SOUND.AFS,3151520
33,337,0_SOUND.AFS,3151524
34,337,0_SOUND.AFS,3151528
35,337,0_SOUND.AFS,3151532
36,337,0_SOUND.AFS,3151536
37,337,0_SOUND.AFS,3151540
38,337,0_SOUND.AFS,3151544
39,337,0_SOUND.AFS,3151548
40,342,0_SOUND.AFS,3151552
41,342,0_SOUND.AFS,3151556
42,342,0_SOUND.AFS,3151560
43,342,0_SOUND.AFS,3151564
44,537,0_SOUND.AFS,3151568
45,532,0_SOUND.AFS,3151572
46,347,0_SOUND.AFS,3151576
47,347,0_SOUND.AFS,3151580
48,347,0_SOUND.AFS,3151584
49,347,0_SOUND.AFS,3151588
50,347,0_SOUND.AFS,3151592
51,347,0_SOUND.AFS,3151596
52,312,0_SOUND.AFS,3151600
53,557,0_SOUND.AFS,3151604
54,542,0_SOUND.AFS,3151608
55,562,0_SOUND.AFS,3151612
56,547,0_SOUND.AFS,3151616
57,392,0_SOUND.AFS,3151620
58,397,0_SOUND.AFS,3151624
59,402,0_SOUND.AFS,3151628
60,407,0_SOUND.AFS,3151632
61,412,0_SOUND.AFS,3151636
62,422,0_SOUND.AFS,3151640
63,417,0_SOUND.AFS,3151644
64,352,0_SOUND.AFS,3151648
65,352,0_SOUND.AFS,3151652
66,352,0_SOUND.AFS,3151656
67,352,0_SOUND.AFS,3151660
68,352,0_SOUND.AFS,3151664
69,352,0_SOUND.AFS,3151668
70,352,0_SOUND.AFS,3151672
71,352,0_SOUND.AFS,3151676
72,352,0_SOUND.AFS,3151680
73,352,0_SOUND.AFS,3151684
74,352,0_SOUND.AFS,3151688
75,352,0_SOUND.AFS,3151692
76,352,0_SOUND.AFS,3151696
77,352,0_SOUND.AFS,3151700
78,352,0_SOUND.AFS,3151704
79,352,0_SOUND.AFS,3151708
80,352,0_SOUND.AFS,3151712
81,352,0_SOUND.AFS,3151716
82,352,0_SOUND.AFS,3151720
83,352,0_SOUND.AFS,3151724
84,312,0_SOUND.AFS,3151728
85,312,0_SOUND.AFS,3151732
86,312,0_SOUND.AFS,3151736
87,312,0_SOUND.AFS,3151740
88,312,0_SOUND.AFS,3151744
89,312,0_SOUND.AFS,3151748
90,312,0_SOUND.AFS,3151752
91,652,0_SOUND.AFS,3151756
92,597,0_SOUND.AFS,3151760
93,312,0_SOUND.AFS,3151764
94,592,0_SOUND.AFS,3151768
95,312,0_SOUND.AFS,3151772
96,312,0_SOUND.AFS,3151776
97,312,0_SOUND.AFS,3151780
98,312,0_SOUND.AFS,3151784
99,312,0_SOUND.AFS,3151788
100,312,0_SOUND.AFS,3151792
101,312,0_SOUND.AFS,3151796
102,312,0_SOUND.AFS,3151800
103,312,0_SOUND.AFS,3151804
104,367,0_SOUND.AFS,3151808
105,367,0_SOUND.AFS,3151812
106,367,0_SOUND.AFS,3151816
107,367,0_SOUND.AFS,3151820
108,367,0_SOUND.AFS,3151824
109,367,0_SOUND.AFS,3151828
110,612,0_SOUND.AFS,3151832
111,617,0_SOUND.AFS,3151836
112,627,0_SOUND.AFS,3151840
113,367,0_SOUND.AFS,3151844
114,622,0_SOUND.AFS,3151848
115,367,0_SOUND.AFS,3151852
116,672,0_SOUND.AFS,3151856
117,632,0_SOUND.AFS,3151860
118,367,0_SOUND.AFS,3151864
119,637,0_SOUND.AFS,3151868
120,367,0_SOUND.AFS,3151872
121,367,0_SOUND.AFS,3151876
